journal,title,doi,year,repo_urls
Science,Asynchronous subunit transitions prime acetylcholine receptor activation,10.1126/science.adw1264,2026,https://github.com/markvanderloo/extremevalues
Science,Kinetic organization of the genome revealed by ultraresolution multiscale live imaging,10.1126/science.adx2202,2025,https://github.com/ZhuangLab/storm-control
Science,Antarctic krill vertical migrations modulate seasonal carbon export,10.1126/science.adq5564,2025,https://github.com/msmielak/moonlit
Science,Brain activity of diving seals reveals short sleep cycles at depth,10.1126/science.adf0566,2023,https://github.com/jmkendallbar/VisualizingLifeintheDeep
Science,Misinformation exploits outrage to spread online,10.1126/science.adl2829,2024,https://github.com/puppeteer/puppeteer
Science,"Reductive samarium (electro)catalysis enabled by Sm
            <sup>III</sup>
            -alkoxide protonolysis",10.1126/science.adp5777,2024,https://github.com/petermattia/Cyclic-Voltammetry-Simulator
Science,Linalool-triggered plant-soil feedback drives defense adaptation in dense maize plantings,10.1126/science.adv6675,2025,https://github.com/YongxinLiu/EasyAmplicon
Science,Accurate computation of quantum excited states with neural networks,10.1126/science.adn0137,2024,https://github.com/microsoft/folx
Science,Observation of universal Hall response in strongly interacting Fermions,10.1126/science.add1969,2023,https://github.com/tenpy/tenpy
Science,Artificial intelligence and interspecific law,10.1126/science.adi8678,2023,https://github.com/features/copilot
Science,Visible light–mediated aza Paternò–Büchi reaction of acyclic oximes and alkenes to azetidines,10.1126/science.adj6771,2024,https://github.com/digital-chemistry-laboratory/morfeus
Science,Synergy between regulatory elements can render cohesin dispensable for distal enhancer function,10.1126/science.adt4221,2026,https://github.com/raivokolde/pheatmap
Science,The contribution of historical processes to contemporary extinction risk in placental mammals,10.1126/science.abn5856,2023,https://github.com/lh3/psmc
Science,"Neural inference at the frontier of energy, space, and time",10.1126/science.adh1174,2023,https://github.com/NVIDIA/DALI; https://github.com/WongKinYiu/PyTorch_YOLOv4; https://github.com/achaiah/pywick
Science,Telomeric transposons are pervasive in linear bacterial genomes,10.1126/science.adp1973,2025,https://github.com/moshi4/pyGenomeViz
Science,A Neptune-mass exoplanet in close orbit around a very low-mass star challenges formation models,10.1126/science.abo0233,2023,https://github.com/grzeimann/Panacea
Science,"Autonomous, multiproperty-driven molecular discovery: From predictions to measurements and back",10.1126/science.adi1407,2023,https://github.com/chemprop/chemprop; https://github.com/rsc-ontologies/rxno
Science,Global selection on insect antipredator coloration,10.1126/science.adr7368,2025,https://github.com/vegandevs/vegan
Science,A deep-time landscape of plant cis-regulatory sequence evolution,10.1126/science.adt8983,2026,https://github.com/broadinstitute/picard
Science,The genetic architecture and evolution of the human skeletal form,10.1126/science.adf8009,2023,https://github.com/Nealelab/UK_Biobank_GWAS
Science,Sequence modeling and design from molecular to genome scale with Evo,10.1126/science.ado9336,2024,https://github.com/togethercomputer/stripedhyena; https://github.com/tseemann/barrnap
Science,Genomic approaches to accelerate American chestnut restoration,10.1126/science.adw3225,2026,https://github.com/jtlovell/qtlTools
Science,Enhancer-driven cell type comparison reveals similarities between the mammalian and bird pallium,10.1126/science.adp3957,2025,https://github.com/jmschrei/tfmodisco-lite
Science,Protein codes promote selective subcellular compartmentalization,10.1126/science.adq2634,2025,https://github.com/amckenna41/protPy
Science,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,2025,https://github.com/apeltzer/DeDup; https://github.com/edgardomortiz/vcf2phylip
Science,Most bacterial gene families are biased toward specific chromosomal positions,10.1126/science.adm9928,2025,https://github.com/StoreyLab/qvalue
Science,Three-dimensional genome rewiring in loci with human accelerated regions,10.1126/science.abm1696,2023,https://github.com/open2c/open2c_examples; https://github.com/open2c/pairtools
Science,Mechanism for feature learning in neural networks and backpropagation-free machine learning models,10.1126/science.adi5639,2024,https://github.com/karpathy/nanoGPT; https://github.com/nikhilbarhate99/Char-RNN-PyTorch
Science,Giant polyketide synthase enzymes in the biosynthesis of giant marine polyether toxins,10.1126/science.ado3290,2024,https://github.com/nanoporetech/medaka; https://github.com/rrwick/Filtlong
Science,The evolution of white-tailed jackrabbit camouflage in response to past and future seasonal climates,10.1126/science.ade3984,2023,https://github.com/lh3/bwa
Science,Lessons from sleep in the deep,10.1126/science.adl4885,2023,https://github.com/jmkendallbar/VisualizingLifeintheDeep
Science,A luminous fast radio burst that probes the Universe at redshift 1,10.1126/science.adf2678,2023,https://github.com/CIERA-Transients/POTPyRI
Science,Catalytic asymmetric fragmentation of cyclopropanes,10.1126/science.adp9061,2024,https://github.com/Kimichi-Suzuki/GRRM-OnioM
Science,Pre-European contact leprosy in the Americas and its current persistence,10.1126/science.adu7144,2025,https://github.com/DanwangJessica/GRSR; https://github.com/moshi4/pyGenomeViz; https://github.com/nanoporetech/medaka
Science,Effect of climate warming on the timing of autumn leaf senescence reverses after the summer solstice,10.1126/science.adf5098,2023,https://github.com/hohenstein/remef
Science,Emergence and interstate spread of highly pathogenic avian influenza A(H5N1) in dairy cattle in the United States,10.1126/science.adq0900,2025,https://github.com/USDA-VS/GenoFLU
Science,A small polymerase ribozyme that can synthesize itself and its complementary strand,10.1126/science.adt2760,2026,https://github.com/bbushnell/BBTools
Science,Did the illicit fentanyl trade experience a supply shock?,10.1126/science.aea6130,2026,https://github.com/brycepardo/Fentanyl
Science,Drivers of epidemic dynamics in real time from daily digital COVID-19 measurements,10.1126/science.adm8103,2024,https://github.com/BDI-pathogens/LocalCovidTracker; https://github.com/DyfanJones/RAthena; https://github.com/MichelleKendall/UK_recent_R_estimate; https://github.com/epiforecasts/covid-rt-estimates; https://github.com/sagar87/genomicsurveillance; https://github.com/ukhsa-collaboration/drivers_epidemic_dynamics_from_nhs_covid19_app.10.5281
Science,Climate change will increase forest disturbances in Europe throughout the 21st century,10.1126/science.adx6329,2026,https://github.com/fchollet/keras
Cell,The MicrobeAtlas database: Global trends and insights into Earth’s microbial ecosystems,10.1016/j.cell.2026.01.021,2026,https://github.com/JuliaPy/PyCall.jl; https://github.com/JuliaStats/Clustering.jl; https://github.com/JuliaStats/Distances.jl; https://github.com/JuliaStats/HypothesisTests.jl; https://github.com/ncbi/sra-tools; https://github.com/queryverse/VegaLite.jl; https://github.com/tseemann/barrnap
Cell,The fork protection complex promotes parental histone recycling and epigenetic memory,10.1016/j.cell.2024.07.017,2024,https://github.com/google-deepmind/alphafold
Cell,Modeling human embryo implantation in vitro,10.1016/j.cell.2025.10.027,2026,https://github.com/nowthis/sankeymatic
Cell,Inheritance of acquired adaptive cold tolerance in rice through DNA methylation,10.1016/j.cell.2025.04.036,2025,https://github.com/raivokolde/pheatmap
Cell,Resolving the three-dimensional interactome of human accelerated regions during human and chimpanzee neurodevelopment,10.1016/j.cell.2025.01.007,2025,https://github.com/broadinstitute/picard
Cell,Extracellular matrix sensing regulates intratumoral heterogeneity of autophagic flux,10.1016/j.cell.2025.12.053,2026,https://github.com/broadinstitute/inferCNV
Cell,Trichophyton concentricum fungal infections and skin microbiomes of Indigenous Peninsular Malaysians,10.1016/j.cell.2025.05.034,2025,https://github.com/jamiemcg/BUSCO_phylogenomics; https://github.com/vmikk/metagMisc
Cell,A non-catalytic role for RFC in PCNA-mediated processive DNA synthesis,10.1016/j.cell.2025.12.029,2026,https://github.com/lumicks/harbor
Cell,Serotonin transporter inhibits antitumor immunity through regulating the intratumoral serotonin axis,10.1016/j.cell.2025.04.032,2025,https://github.com/ncborcherding/utility
Cell,Planetary microbiome structure and generalist-driven gene flow across disparate habitats,10.1016/j.cell.2025.12.051,2026,https://github.com/donovan-h-parks/PhyloRank; https://github.com/tseemann/abricate; https://github.com/vegandevs/vegan
Cell,Reference genome choice compromises population genetic analyses,10.1016/j.cell.2025.08.034,2025,https://github.com/AndreaGuarracino/paf2chain
Cell,Molecular basis of proton sensing by G protein-coupled receptors,10.1016/j.cell.2024.11.036,2025,https://github.com/nanxstats/ggsci; https://github.com/thomasp85/patchwork
Cell,Crop root bacterial and viral genomes reveal unexplored species and microbiome patterns,10.1016/j.cell.2025.02.013,2025,https://github.com/lselzer/multcompview; https://github.com/thomasp85/patchwork; https://github.com/vegandevs/vegan
Cell,"Integration of 168,000 samples reveals global patterns of the human gut microbiome",10.1016/j.cell.2024.12.017,2025,https://github.com/ncbi/sra-tools
Cell,Nutrient competition predicts gut microbiome restructuring under drug perturbations,10.1016/j.cell.2025.10.038,2025,https://github.com/tseemann/snippy
Cell,Human interpretable grammar encodes multicellular systems biology models to democratize virtual cell laboratories,10.1016/j.cell.2025.06.048,2025,https://github.com/emcramer/abm-spheroid-invasiveness; https://github.com/heberlr/UQ_PhysiCell
Cell,A single-nucleus transcriptomic atlas of the adult Aedes aegypti mosquito,10.1016/j.cell.2025.10.008,2025,https://github.com/NBISweden/AGAT
Cell,Genomic surveillance as a scalable framework for precision phage therapy against antibiotic-resistant pathogens,10.1016/j.cell.2024.09.009,2024,https://github.com/tseemann/mlst
Cell,Coalescing single-cell genomes and transcriptomes to decode breast cancer progression,10.1016/j.cell.2025.08.012,2025,https://github.com/broadinstitute/inferCNV
Cell,Digital phenotyping from wearables using AI characterizes psychiatric disorders and identifies genetic associations,10.1016/j.cell.2024.11.012,2025,https://github.com/timeseriesAI/tsai
Cell,Open-ST: High-resolution spatial transcriptomics in 3D,10.1016/j.cell.2024.05.055,2024,https://github.com/broadinstitute/Drop-seq
Cell,Evolutionary transcriptomics unveils rapid changes of gene expression patterns in flowering plants,10.1016/j.cell.2025.12.015,2026,https://github.com/HenrikBengtsson/matrixStats
Nature,Magnon spectroscopy in the electron microscope,10.1038/s41586-025-09318-y,2025,https://github.com/UppASD/UppASD
Nature,Predicting crystal form stability under real-world conditions,10.1038/s41586-023-06587-3,2023,https://github.com/spglib/spglib
Nature,RNA conformational propensities determine cellular activity,10.1038/s41586-023-06080-x,2023,https://github.com/alhashimilab/TAR_Thermodynamic_Model
Nature,A foundation model for continuous glucose monitoring data,10.1038/s41586-025-09925-9,2026,https://github.com/Guylu/GluFormer
Nature,Sub-second volumetric 3D printing by synthesis of holographic light fields,10.1038/s41586-026-10114-5,2026,https://github.com/sugar10w/DISH
Nature,Lineage-resolved atlas of the developing human cortex,10.1038/s41586-025-09033-8,2025,https://github.com/mattgkeefe/sticr_paper_code
Nature,Common occurrences of subsurface heatwaves and cold spells in ocean eddies,10.1038/s41586-024-08051-2,2024,https://github.com/ZijieZhaoMMHW/m_mhw1.0
Nature,Retrotransposons hijack alt-EJ for DNA replication and eccDNA biogenesis,10.1038/s41586-023-06327-7,2023,https://github.com/ZhaoZhangZZlab/eccDNA_formation_2021
Nature,Ultra-fast deep-learned CNS tumour classification during surgery,10.1038/s41586-023-06615-2,2023,https://github.com/marcpaga/sturgeon; https://github.com/marcpaga/sturgeon_dev; https://github.com/nanopore-wgs-consortium/NA12878; https://github.com/nanoporetech/qcat
Nature,Regulated somatic hypermutation enhances antibody affinity maturation,10.1038/s41586-025-08728-2,2025,https://github.com/matsengrp/gctree; https://github.com/stratust/igpipeline
Nature,Preserved neural dynamics across animals performing similar behaviour,10.1038/s41586-023-06714-0,2023,https://github.com/BeNeuroLab/2022-preserved-dynamics; https://github.com/MouseLand/Kilosort; https://github.com/billkarsh/SpikeGLX; https://github.com/cortex-lab/phy; https://github.com/janelia-pypi/mouse_joystick_interface_python
Nature,Self-organized tissue mechanics underlie embryonic regulation,10.1038/s41586-024-07934-8,2024,https://github.com/achamolly/mechanical_self_organisation
Nature,Multimodal decoding of human liver regeneration,10.1038/s41586-024-07376-2,2024,https://github.com/HendersonLab/LiverRegenerationAtlas
Nature,Sex and smoking bias in the selection of somatic mutations in human bladder,10.1038/s41586-025-09521-x,2025,https://github.com/AlexandrovLab/SigProfilerExtractor; https://github.com/AstraZeneca-NGS/VarDictJava; https://github.com/McGranahanLab/HDP_sigExtraction; https://github.com/bbglab/deepCSA; https://github.com/bbglab/deepUMIcaller; https://github.com/bbglab/intogen-plus; https://github.com/bbglab/normal_bladder_paper; https://github.com/bbglab/omega; https://github.com/fulcrumgenomics/fgbio; https://github.com/nicolaroberts/hdp; https://github.com/realbigws/PDB_Tool
Nature,Thermal infrared directs host-seeking behaviour in Aedes aegypti mosquitoes,10.1038/s41586-024-07848-5,2024,https://github.com/Craig-Montell-Lab/Chandel_DeBeaubien_2023
Nature,A foundation model of transcription across human cell types,10.1038/s41586-024-08391-z,2025,https://github.com/EngreitzLab/CRISPR_comparison; https://github.com/YichaoOU/ABE_NonCoding_functional_score; https://github.com/fuxialexander/proscope
Nature,Tissue-resident memory CD8 T cell diversity is spatiotemporally imprinted,10.1038/s41586-024-08466-x,2025,https://github.com/wkentaro/labelme
Nature,"The genomic landscape of 2,023 colorectal cancers",10.1038/s41586-024-07747-9,2024,https://github.com/kircherlab/CADD-scripts; https://github.com/sheenamt/msings
Nature,Sequence diversity lost in early pregnancy,10.1038/s41586-025-09031-w,2025,https://github.com/DecodeGenetics/graphtyper; https://github.com/DecodeGenetics/svimmer; https://github.com/Illumina/manta; https://github.com/Nik-Zainal-Group/signature.tools.lib; https://github.com/broadinstitute/picard; https://github.com/lh3/bwa
Nature,Brainstem Dbh+ neurons control allergen-induced airway hyperreactivity,10.1038/s41586-024-07608-5,2024,https://github.com/lazappi/clustree
Nature,"Genetic links between ovarian ageing, cancer risk and de novo mutation rates",10.1038/s41586-024-07931-x,2024,https://github.com/hadley/reshape; https://github.com/rgcgithub/regenie
Nature,Estimation and mapping of the missing heritability of human phenotypes,10.1038/s41586-025-09720-6,2025,https://github.com/loic-yengo/REML-with-sparse-relationship-matrices; https://github.com/tianwu1117/EStrans
Nature,Haematological setpoints are a stable and patient-specific deep phenotype,10.1038/s41586-024-08264-5,2024,https://github.com/BrodyFoy/setpoint_calculation
Nature,Molecular mechanism of ultrafast transport by plasma membrane Ca2+-ATPases,10.1038/s41586-025-09402-3,2025,https://github.com/schaefer-jh/motionviz
Nature,Mitotic clustering of pulverized chromosomes from micronuclei,10.1038/s41586-023-05974-0,2023,https://github.com/hartwigmedical/hmftools; https://github.com/parklab/ShatterSeek
